Time (JST),Kashiwazaki (m),Mikuni (m),Oga (m),Okushiri (m),Tobishima (m)
2024/01/01 00:00:00,0.196,0.190,0.138,0.133,0.177
2024/01/01 00:00:30,0.192,0.187,0.134,0.133,0.148
2024/01/01 00:01:00,0.190,0.192,0.165,0.129,0.158
2024/01/01 00:01:30,0.177,0.170,0.138,0.119,0.132
2024/01/01 00:02:00,0.170,0.149,0.118,0.109,0.125
2024/01/01 00:02:30,0.170,0.176,0.175,0.105,0.141
2024/01/01 00:03:00,0.163,0.166,0.067,0.105,0.163
2024/01/01 00:03:30,0.157,0.142,0.126,0.107,0.167
2024/01/01 00:04:00,0.156,0.125,0.095,0.107,0.120
2024/01/01 00:04:30,0.142,0.110,0.130,0.097,0.080
2024/01/01 00:05:00,0.139,0.143,0.081,0.086,0.079
2024/01/01 00:05:30,0.133,0.146,0.128,0.083,0.059
2024/01/01 00:06:00,0.123,0.128,0.043,0.078,0.103
2024/01/01 00:06:30,0.115,0.123,0.051,0.074,0.120
2024/01/01 00:07:00,0.116,0.106,0.118,0.078,0.114
2024/01/01 00:07:30,0.109,0.084,0.063,0.080,0.094
2024/01/01 00:08:00,0.097,0.106,0.070,0.068,0.087
2024/01/01 00:08:30,0.100,0.080,0.088,0.052,0.060
2024/01/01 00:09:00,0.096,0.084,0.055,0.041,0.078
2024/01/01 00:09:30,0.088,0.072,0.087,0.045,0.032
2024/01/01 00:10:00,0.080,0.073,0.046,0.051,0.042
2024/01/01 00:10:30,0.078,0.062,0.108,0.052,0.035
2024/01/01 00:11:00,0.073,0.052,0.084,0.047,0.064
2024/01/01 00:11:30,0.064,0.072,0.032,0.036,0.088
2024/01/01 00:12:00,0.056,0.027,0.041,0.027,0.072
2024/01/01 00:12:30,0.055,0.044,-0.003,0.022,0.039
2024/01/01 00:13:00,0.045,0.027,-0.008,0.024,0.009
2024/01/01 00:13:30,0.045,0.026,0.028,0.027,-0.014
2024/01/01 00:14:00,0.041,0.021,0.019,0.032,0.013
2024/01/01 00:14:30,0.031,0.010,0.024,0.025,0.016
2024/01/01 00:15:00,0.025,0.034,0.015,0.017,0.014
2024/01/01 00:15:30,0.026,0.044,0.007,0.009,0.016
2024/01/01 00:16:00,0.025,0.003,0.016,0.009,0.027
2024/01/01 00:16:30,0.017,0.029,-0.006,0.008,0.026
2024/01/01 00:17:00,0.012,0.022,-0.005,0.005,0.001
2024/01/01 00:17:30,0.014,0.030,-0.004,0.006,-0.006
2024/01/01 00:18:00,0.005,-0.018,-0.012,0.001,-0.019
2024/01/01 00:18:30,0.003,0.002,0.016,0.000,-0.003
2024/01/01 00:19:00,0.007,0.004,-0.007,0.000,-0.021
2024/01/01 00:19:30,0.002,-0.015,-0.024,-0.005,0.003
2024/01/01 00:20:00,-0.003,-0.009,-0.022,-0.011,0.002
2024/01/01 00:20:30,-0.013,-0.025,0.006,-0.012,-0.019
2024/01/01 00:21:00,-0.012,-0.042,-0.009,-0.012,-0.019
2024/01/01 00:21:30,-0.012,-0.026,-0.035,-0.014,-0.028
2024/01/01 00:22:00,-0.016,-0.050,0.004,-0.014,-0.007
2024/01/01 00:22:30,-0.015,-0.032,-0.031,-0.019,-0.005
2024/01/01 00:23:00,-0.023,-0.054,0.012,-0.018,-0.003
2024/01/01 00:23:30,-0.027,-0.035,-0.003,-0.014,-0.025
2024/01/01 00:24:00,-0.030,-0.032,-0.042,-0.013,-0.031
2024/01/01 00:24:30,-0.024,-0.041,-0.026,-0.017,-0.046
2024/01/01 00:25:00,-0.028,-0.041,-0.006,-0.021,-0.017
2024/01/01 00:25:30,-0.031,-0.054,-0.052,-0.027,-0.008
2024/01/01 00:26:00,-0.032,-0.056,-0.074,-0.024,-0.001
2024/01/01 00:26:30,-0.038,-0.051,-0.019,-0.023,-0.020
2024/01/01 00:27:00,-0.035,-0.038,-0.020,-0.019,-0.044
2024/01/01 00:27:30,-0.032,-0.023,-0.004,-0.018,-0.026
2024/01/01 00:28:00,-0.028,-0.077,-0.016,-0.020,-0.022
2024/01/01 00:28:30,-0.029,-0.048,-0.070,-0.026,-0.032
2024/01/01 00:29:00,-0.033,-0.040,-0.028,-0.029,-0.037
2024/01/01 00:29:30,-0.032,-0.062,-0.011,-0.029,-0.061
2024/01/01 00:30:00,-0.031,-0.032,-0.049,-0.031,-0.017
2024/01/01 00:30:30,-0.034,-0.026,-0.013,-0.022,-0.015
2024/01/01 00:31:00,-0.038,-0.035,-0.068,-0.015,0.010
2024/01/01 00:31:30,-0.033,-0.057,-0.028,-0.016,-0.031
2024/01/01 00:32:00,-0.027,-0.017,0.014,-0.018,-0.057
2024/01/01 00:32:30,-0.023,-0.020,-0.050,-0.023,-0.069
2024/01/01 00:33:00,-0.023,-0.015,-0.020,-0.034,-0.040
2024/01/01 00:33:30,-0.030,-0.051,0.008,-0.031,-0.012
2024/01/01 00:34:00,-0.025,0.004,0.035,-0.020,0.029
2024/01/01 00:34:30,-0.025,-0.020,-0.012,-0.014,0.022
2024/01/01 00:35:00,-0.032,-0.001,-0.045,-0.018,-0.013
2024/01/01 00:35:30,-0.025,-0.015,-0.044,-0.025,-0.051
2024/01/01 00:36:00,-0.021,0.005,-0.039,-0.021,-0.052
2024/01/01 00:36:30,-0.018,-0.025,0.001,-0.020,-0.051
2024/01/01 00:37:00,-0.022,-0.034,-0.032,-0.021,-0.031
2024/01/01 00:37:30,-0.022,-0.005,-0.027,-0.013,-0.049
2024/01/01 00:38:00,-0.018,-0.026,-0.027,-0.009,-0.010
2024/01/01 00:38:30,-0.019,-0.020,-0.036,-0.011,0.007
2024/01/01 00:39:00,-0.016,-0.007,0.002,-0.016,0.018
2024/01/01 00:39:30,-0.010,0.015,-0.029,-0.018,-0.003
2024/01/01 00:40:00,-0.014,-0.019,-0.044,-0.017,-0.020
2024/01/01 00:40:30,-0.018,-0.001,0.009,-0.008,-0.025
2024/01/01 00:41:00,-0.011,-0.016,-0.034,0.000,-0.018
2024/01/01 00:41:30,-0.008,-0.017,0.012,-0.001,-0.006
2024/01/01 00:42:00,-0.009,0.004,0.034,-0.007,0.013
2024/01/01 00:42:30,-0.012,0.005,-0.021,-0.015,0.011
2024/01/01 00:43:00,-0.015,-0.021,0.011,-0.014,0.007
2024/01/01 00:43:30,-0.003,-0.008,0.016,-0.008,-0.031
2024/01/01 00:44:00,-0.002,-0.044,-0.004,0.000,-0.025
2024/01/01 00:44:30,-0.005,-0.004,0.019,0.003,0.007
2024/01/01 00:45:00,0.002,0.002,-0.008,-0.001,0.014
2024/01/01 00:45:30,0.012,-0.003,0.004,-0.003,-0.013
2024/01/01 00:46:00,0.006,-0.003,-0.012,-0.003,0.023
2024/01/01 00:46:30,-0.003,0.009,-0.056,0.001,-0.004
2024/01/01 00:47:00,0.007,0.000,0.048,0.003,-0.024
2024/01/01 00:47:30,0.005,0.008,0.051,0.005,-0.018
2024/01/01 00:48:00,-0.004,0.020,0.063,0.006,-0.003
2024/01/01 00:48:30,0.004,-0.006,-0.045,0.006,0.040
2024/01/01 00:49:00,-0.003,0.004,-0.032,0.004,0.027
2024/01/01 00:49:30,0.001,0.011,0.038,0.005,0.033
2024/01/01 00:50:00,-0.002,0.024,0.047,0.008,0.023
2024/01/01 00:50:30,-0.003,0.017,0.037,0.007,-0.016
2024/01/01 00:51:00,0.004,-0.020,-0.034,0.007,0.002
2024/01/01 00:51:30,0.011,0.010,-0.005,0.010,-0.017
2024/01/01 00:52:00,0.004,0.029,-0.008,0.010,0.028
2024/01/01 00:52:30,0.008,0.008,0.014,0.012,0.014
2024/01/01 00:53:00,0.006,0.020,-0.012,0.016,0.001
2024/01/01 00:53:30,0.011,0.025,-0.016,0.013,0.005
2024/01/01 00:54:00,0.013,0.007,0.003,0.009,0.024
2024/01/01 00:54:30,0.011,0.032,0.005,0.016,0.040
2024/01/01 00:55:00,0.004,0.013,0.039,0.016,0.036
2024/01/01 00:55:30,0.014,0.021,0.015,0.012,0.023
2024/01/01 00:56:00,0.022,0.024,-0.007,0.011,-0.005
2024/01/01 00:56:30,0.010,0.013,0.001,0.011,-0.026
2024/01/01 00:57:00,0.006,0.025,0.044,0.016,-0.023
2024/01/01 00:57:30,0.010,0.041,0.063,0.019,0.024
2024/01/01 00:58:00,0.004,0.018,0.006,0.016,0.049
2024/01/01 00:58:30,0.010,0.007,0.017,0.016,0.050
2024/01/01 00:59:00,0.026,0.025,-0.007,0.022,0.021
