Time (UTC),Toyama (m),Sado (m),Fukaura (m),Saigo (m),Rudnaya (m),Preobrazheniye (m),Sosunovo (m)
2024/01/01 00:00:00,0.075,0.031,0.006,0.058,-0.060,-0.009,0.010
2024/01/01 00:01:00,0.074,0.037,0.021,0.060,0.041,-0.048,0.000
2024/01/01 00:02:00,0.051,0.037,0.012,0.059,-0.068,-0.017,0.001
2024/01/01 00:03:00,0.038,0.006,0.021,0.055,0.022,0.004,0.002
2024/01/01 00:04:00,0.073,0.027,0.027,0.054,-0.037,-0.015,0.003
2024/01/01 00:05:00,0.072,0.040,0.036,0.056,-0.016,0.005,0.004
2024/01/01 00:06:00,0.068,0.045,0.029,0.062,-0.005,0.006,-0.016
2024/01/01 00:07:00,0.061,0.021,0.029,0.049,0.036,0.007,-0.005
2024/01/01 00:08:00,0.050,0.048,-0.001,0.051,-0.013,0.028,0.016
2024/01/01 00:09:00,0.058,0.015,0.011,0.035,0.048,0.009,-0.003
2024/01/01 00:10:00,0.054,-0.016,-0.004,0.046,-0.051,0.030,0.007
2024/01/01 00:11:00,0.032,0.008,-0.001,0.037,-0.010,0.040,0.028
2024/01/01 00:12:00,0.031,0.011,0.008,0.027,-0.059,0.031,0.009
2024/01/01 00:13:00,0.057,0.011,0.008,0.035,-0.018,0.042,0.000
2024/01/01 00:14:00,0.034,0.017,0.005,0.025,-0.027,0.013,0.000
2024/01/01 00:15:00,0.033,0.017,0.026,0.016,0.014,0.004,-0.009
2024/01/01 00:16:00,0.035,0.011,0.002,0.009,-0.005,0.015,0.002
2024/01/01 00:17:00,0.062,0.005,0.020,0.012,-0.005,0.025,0.013
2024/01/01 00:18:00,0.036,0.002,0.002,-0.004,-0.044,0.016,0.013
2024/01/01 00:19:00,0.008,0.018,-0.010,0.005,-0.083,0.027,-0.006
2024/01/01 00:20:00,0.043,0.015,-0.022,-0.011,-0.032,0.028,-0.005
2024/01/01 00:21:00,0.036,0.027,-0.007,-0.005,-0.031,0.039,-0.005
2024/01/01 00:22:00,0.035,-0.003,-0.016,-0.018,-0.020,0.020,-0.004
2024/01/01 00:23:00,0.022,-0.003,0.000,-0.021,0.001,0.011,0.017
2024/01/01 00:24:00,0.030,-0.015,0.015,-0.015,-0.068,0.001,0.017
2024/01/01 00:25:00,0.041,-0.021,-0.003,-0.013,0.003,0.002,0.018
2024/01/01 00:26:00,0.021,0.019,0.028,-0.016,-0.077,-0.027,-0.002
2024/01/01 00:27:00,0.008,0.007,-0.017,-0.016,-0.026,-0.026,-0.011
2024/01/01 00:28:00,0.026,0.022,-0.002,-0.022,0.015,-0.035,0.020
2024/01/01 00:29:00,0.013,0.004,-0.020,-0.019,0.006,-0.044,0.010
2024/01/01 00:30:00,-0.001,-0.008,0.002,-0.010,0.037,-0.033,0.011
2024/01/01 00:31:00,0.005,-0.007,0.005,-0.001,0.027,-0.062,0.011
2024/01/01 00:32:00,0.004,0.002,0.012,-0.001,0.068,-0.021,-0.008
2024/01/01 00:33:00,0.043,0.006,0.013,-0.007,0.009,-0.040,0.002
2024/01/01 00:34:00,0.020,0.015,-0.002,0.003,-0.020,-0.019,-0.007
2024/01/01 00:35:00,0.020,0.015,0.004,0.000,-0.009,0.002,-0.007
2024/01/01 00:36:00,0.010,-0.015,-0.029,0.003,0.001,-0.027,-0.006
2024/01/01 00:37:00,0.018,-0.014,-0.016,0.006,0.002,-0.026,-0.006
2024/01/01 00:38:00,0.005,-0.029,0.000,0.013,-0.037,-0.015,0.005
