Station,Latitude,Longitude,minutes,,,,,
Kushiro,42.983 ,144.367 ,648.1,,,,,
Miyako,39.650 ,141.983 ,640.2,,,,,
Ofunato,39.017 ,141.750 ,640.9,,,,,
Ayukawa,38.300 ,141.500 ,650.4,,,,,
Onahama,36.933 ,140.900 ,639.5,,,,,
Chichijima,27.100 ,142.200 ,577.5,,,,,
Hachijojima,33.133 ,139.800 ,617.7,,,,,
Irozaki,34.617 ,138.850 ,636.0,,,,,
Omaezaki,34.617 ,138.217 ,652.3,,,,,
Kushimoto,33.483 ,135.767 ,657.8,,,,,
Muroto,33.267 ,134.167 ,664.6,,,,,
Tosashimizu,32.783 ,132.967 ,679.6,,,,,
Aburatsu,31.583 ,131.417 ,674.0,,,,,
Makurazaki,31.267 ,130.300 ,707.6,,,,,
Amami,28.317 ,129.533 ,670.2,,,,,
