Time (UTC),Toyama,sado (m),fukaura (m),saigo (m),rudnaya (m),preobrazheniye (m),sosunovo (m)
2024/01/01 0:00,0.075,0.031,0.006,0.058,-0.06,-0.009,0.01
2024/01/01 0:01,0.074,0.037,0.021,0.06,0.041,-0.048,0
2024/01/01 0:02,0.051,0.037,0.012,0.059,-0.068,-0.017,0.001
2024/01/01 0:03,0.038,0.006,0.021,0.055,0.022,0.004,0.002
2024/01/01 0:04,0.073,0.027,0.027,0.054,-0.037,-0.015,0.003
2024/01/01 0:05,0.072,0.04,0.036,0.056,-0.016,0.005,0.004
2024/01/01 0:06,0.068,0.045,0.029,0.062,-0.005,0.006,-0.016
2024/01/01 0:07,0.061,0.021,0.029,0.049,0.036,0.007,-0.005
2024/01/01 0:08,0.05,0.048,-0.001,0.051,-0.013,0.028,0.016
2024/01/01 0:09,0.058,0.015,0.011,0.035,0.048,0.009,-0.003
2024/01/01 0:10,0.054,-0.016,-0.004,0.046,-0.051,0.03,0.007
2024/01/01 0:11,0.032,0.008,-0.001,0.037,-0.01,0.04,0.028
2024/01/01 0:12,0.031,0.011,0.008,0.027,-0.059,0.031,0.009
2024/01/01 0:13,0.057,0.011,0.008,0.035,-0.018,0.042,0
2024/01/01 0:14,0.034,0.017,0.005,0.025,-0.027,0.013,0
2024/01/01 0:15,0.033,0.017,0.026,0.016,0.014,0.004,-0.009
2024/01/01 0:16,0.035,0.011,0.002,0.009,-0.005,0.015,0.002
2024/01/01 0:17,0.062,0.005,0.02,0.012,-0.005,0.025,0.013
2024/01/01 0:18,0.036,0.002,0.002,-0.004,-0.044,0.016,0.013
2024/01/01 0:19,0.008,0.018,-0.01,0.005,-0.083,0.027,-0.006
2024/01/01 0:20,0.043,0.015,-0.022,-0.011,-0.032,0.028,-0.005
2024/01/01 0:21,0.036,0.027,-0.007,-0.005,-0.031,0.039,-0.005
2024/01/01 0:22,0.035,-0.003,-0.016,-0.018,-0.02,0.02,-0.004
2024/01/01 0:23,0.022,-0.003,0,-0.021,0.001,0.011,0.017
2024/01/01 0:24,0.03,-0.015,0.015,-0.015,-0.068,0.001,0.017
2024/01/01 0:25,0.041,-0.021,-0.003,-0.013,0.003,0.002,0.018
2024/01/01 0:26,0.021,0.019,0.028,-0.016,-0.077,-0.027,-0.002
2024/01/01 0:27,0.008,0.007,-0.017,-0.016,-0.026,-0.026,-0.011
2024/01/01 0:28,0.026,0.022,-0.002,-0.022,0.015,-0.035,0.02
2024/01/01 0:29,0.013,0.004,-0.02,-0.019,0.006,-0.044,0.01
2024/01/01 0:30,-0.001,-0.008,0.002,-0.01,0.037,-0.033,0.011
2024/01/01 0:31,0.005,-0.007,0.005,-0.001,0.027,-0.062,0.011
2024/01/01 0:32,0.004,0.002,0.012,-0.001,0.068,-0.021,-0.008
2024/01/01 0:33,0.043,0.006,0.013,-0.007,0.009,-0.04,0.002
2024/01/01 0:34,0.02,0.015,-0.002,0.003,-0.02,-0.019,-0.007
2024/01/01 0:35,0.02,0.015,0.004,0,-0.009,0.002,-0.007
2024/01/01 0:36,0.01,-0.015,-0.029,0.003,0.001,-0.027,-0.006
2024/01/01 0:37,0.018,-0.014,-0.016,0.006,0.002,-0.026,-0.006
2024/01/01 0:38,0.005,-0.029,0,0.013,-0.037,-0.015,0.005
2024/01/01 0:39,-0.01,0.002,-0.012,0.004,-0.006,0.006,0.005
2024/01/01 0:40,-0.014,0.018,-0.002,0.001,-0.046,0.027,-0.005
2024/01/01 0:41,-0.015,0.018,-0.001,0.005,-0.025,0.008,-0.004
2024/01/01 0:42,-0.009,0.019,-0.003,0.008,0.026,-0.011,0.006
2024/01/01 0:43,-0.006,-0.002,0.013,0.006,0.046,0.01,-0.003
2024/01/01 0:44,0.002,-0.02,-0.017,0.012,0.067,0.021,0.007
2024/01/01 0:45,-0.001,-0.019,0.014,-0.012,0.048,0.022,-0.003
2024/01/01 0:46,0.005,-0.018,-0.016,-0.002,0.059,0.043,-0.012
2024/01/01 0:47,-0.02,-0.003,0.004,-0.01,0.059,0.014,-0.002
